filename,tribunal,rol,year,type,extension,size_kb
"2026.01.06_Sentencia_R-460-2024.pdf","2TA","R-460-2024","2024","Sentencia",".pdf","827.4"
"2025.12.30_Sentencia_R-478-2024.pdf","2TA","R-478-2024","2024","Sentencia",".pdf","1276.7"
"2025.12.23_Sentencia_R-521-2025.pdf","2TA","R-521-2025","2025","Sentencia",".pdf","396.5"
"2025.12.22._Sentencia_R-494-2025.pdf","2TA","R-494-2025","2025","Sentencia",".pdf","1621.6"
"2025.12.22_Sentencia_R-441-2023.pdf","2TA","R-441-2023","2023","Sentencia",".pdf","2568.3"
"2025.12.19_Sentencia_R-528-2025.pdf","2TA","R-528-2025","2025","Sentencia",".pdf","694.3"
"2025.12.16_Sentencia_R-533-2025.pdf","2TA","R-533-2025","2025","Sentencia",".pdf","814.3"
"2025.12.16_Sentencia_R-520-2025.pdf","2TA","R-520-2025","2025","Sentencia",".pdf","988.8"
"2025.12.16_Sentencia_R-518-2025.pdf","2TA","R-518-2025","2025","Sentencia",".pdf","1184.8"
"2025.12.16_Sentencia_R-498-2025.pdf","2TA","R-498-2025","2025","Sentencia",".pdf","1213.5"
"2025.12.16_Sentencia_R-493-2024.pdf","2TA","R-493-2024","2024","Sentencia",".pdf","872.0"
"2025.12.16_Sentencia_R-489-2024.pdf","2TA","R-489-2024","2024","Sentencia",".pdf","1099.6"
"2025.12.16_Sentencia_R-485-2024.pdf","2TA","R-485-2024","2024","Sentencia",".pdf","736.0"
"2025.12.05_Sentencia_R-481-2024_.pdf","2TA","R-481-2024","2024","Sentencia",".pdf","3044.1"
"2025.10.30_Sentencia_R-465-2024.pdf","2TA","R-465-2024","2024","Sentencia",".pdf","2321.0"
"2025.10.09_Sentencia_R-327-2022_R328_R335_R337_R338_R447.pdf","2TA","R-327-2022","2022","Sentencia",".pdf","4910.0"
"2025.10.02_Sentencia_R-482-2024.pdf","2TA","R-482-2024","2024","Sentencia",".pdf","1058.3"
"2025.09.30_Sentencia_R-522-2025.pdf","2TA","R-522-2025","2025","Sentencia",".pdf","1117.7"
"2025.09.17_Sentencia_R-470-2024.pdf","2TA","R-470-2024","2024","Sentencia",".pdf","657.1"
"2025.09.15_Sentencia_R-504-2025.pdf","2TA","R-504-2025","2025","Sentencia",".pdf","1424.0"
"2025.08.29_Sentencia_R-483-2024.pdf","2TA","R-483-2024","2024","Sentencia",".pdf","2076.4"
"2025.08.29_Sentencia_R-453-2024.pdf","2TA","R-453-2024","2024","Sentencia",".pdf","1220.0"
"2025.08.25_Sentencia_R-506-2025.pdf","2TA","R-506-2025","2025","Sentencia",".pdf","770.9"
"2025.08.19_Sentencia_R-375-2022_y_acumuladas-1.pdf","2TA","R-375-2022","2022","Sentencia",".pdf","16305.3"
"Sentencia_R-333-2022.pdf","2TA","R-333-2022","2022","Sentencia",".pdf","12185.6"
"2025.07.07_Sentencia_R-463-2024.pdf","2TA","R-463-2024","2024","Sentencia",".pdf","1771.1"
"2025.07.03_Sentencia_R-459-2024.pdf","2TA","R-459-2024","2024","Sentencia",".pdf","3257.1"
"2025.06.03_Sentencia_R-347-2022_acumulada_R-439-2023.pdf","2TA","R-347-2022","2022","Sentencia",".pdf","2480.1"
"2025.05.29_Sentencia_R-479-2024.pdf","2TA","R-479-2024","2024","Sentencia",".pdf","671.9"
"2025.05.16_Sentencia_R-464-2024.pdf","2TA","R-464-2024","2024","Sentencia",".pdf","1875.0"
"2025.04.17_Sentencia_R-458-2024.pdf","2TA","R-458-2024","2024","Sentencia",".pdf","1570.8"
"2025.03.27_Sentencia_R-456-2024.pdf","2TA","R-456-2024","2024","Sentencia",".pdf","1356.0"
"2025.03.19_Sentencia_R-434-2023.pdf","2TA","R-434-2023","2023","Sentencia",".pdf","1505.7"
"2025.03.19_Sentencia_R-433-2023.pdf","2TA","R-433-2023","2023","Sentencia",".pdf","2233.3"
"2025.03.13_Sentencia_R-466-2024.pdf","2TA","R-466-2024","2024","Sentencia",".pdf","715.3"
"2025.02.19_Sentencia_R427-2023_R_431-2023.pdf","2TA","R-427-2023","2023","Sentencia",".pdf","1112.8"
"2025.02.11_Sentencia_R-346-2022.pdf","2TA","R-346-2022","2022","Sentencia",".pdf","1913.6"
"Sentencia_R_426-2023.pdf","2TA","R-426-2023","2023","Sentencia",".pdf","1820.7"
"2024.12.23_Sentencia_R-450-2024.pdf","2TA","R-450-2024","2024","Sentencia",".pdf","795.8"
"2024.11.15_Sentencia_R-451-2024.pdf","2TA","R-451-2024","2024","Sentencia",".pdf","879.4"
"2024.11.07_Sentencia_R-428-2023.pdf","2TA","R-428-2023","2023","Sentencia",".pdf","648.1"
"R-398-2023-aprueba-concilacion.pdf","2TA","R-398-2023","2023","Otro",".pdf","121.9"
"2024.11.06_Sentencia_R-425-2023.pdf","2TA","R-425-2023","2023","Sentencia",".pdf","1352.2"
"2024.11.04_Sentencia_R-454-2024.pdf","2TA","R-454-2024","2024","Sentencia",".pdf","778.2"
"2024.10.29_Sentencia_R-406-2023.pdf","2TA","R-406-2023","2023","Sentencia",".pdf","3366.9"
"2024.09.16_Sentencia_R-435-2023.pdf","2TA","R-435-2023","2023","Sentencia",".pdf","1654.0"
"2024.08.27_Sentencia_R-414-2023.pdf","2TA","R-414-2023","2023","Sentencia",".pdf","1792.0"
"2024.08.22_Sentencia_R-417-2023.pdf","2TA","R-417-2023","2023","Sentencia",".pdf","947.2"
"2024.08.14_Sentencia_R-412-2023.pdf","2TA","R-412-2023","2023","Sentencia",".pdf","760.7"
"2024.07.17_Sentencia_R-408-2023.pdf","2TA","R-408-2023","2023","Sentencia",".pdf","1175.6"
"2024.07.17_Sentencia_R-443-2023.pdf","2TA","R-443-2023","2023","Sentencia",".pdf","580.0"
"2024.07.17_Sentencia_R-440-2023.pdf","2TA","R-440-2023","2023","Sentencia",".pdf","805.1"
"2024.07.03_Sentencia_R-413-2023.pdf","2TA","R-413-2023","2023","Sentencia",".pdf","994.3"
"2024.07.03_Sentencia_R-405-2023.pdf","2TA","R-405-2023","2023","Sentencia",".pdf","1055.2"
"2024.06.28_Sentencia_R-377-2023.pdf","2TA","R-377-2023","2023","Sentencia",".pdf","1962.0"
"Sentencia_R-371-2022.pdf","2TA","R-371-2022","2022","Sentencia",".pdf","2592.0"
"2024.06.07_Sentencia_R-424-2023.pdf","2TA","R-424-2023","2023","Sentencia",".pdf","1376.0"
"2024.05.31_Sentencia_R-432-2023.pdf","2TA","R-432-2023","2023","Sentencia",".pdf","1404.6"
"2024.05.30_Sentencia_R-397-2023.pdf","2TA","R-397-2023","2023","Sentencia",".pdf","868.5"
"2024.05.27_Sentencia_R-418-2023.pdf","2TA","R-418-2023","2023","Sentencia",".pdf","754.1"
"2024.05.27_Sentencia_R-407-2023.pdf","2TA","R-407-2023","2023","Sentencia",".pdf","1350.2"
