rol,tribunal,tipo,año,filename,size_kb
"R-5-2018","1TA","definitiva","2018","Sentencia_R-5-2018_acum__R-6-2018.pdf","1749.5"
"R-92-2023","1TA","definitiva","2023","SentenciaR-92-2023.pdf","4195.7"
"R-100-2024","1TA","definitiva","2024","sentencia-R-100-2024.pdf","2048.7"
"R-2-2013","2TA","definitiva","2013","R-02-2013-01-10-2013-Sentencia.pdf","206.2"
"R-4-2013","2TA","definitiva","2013","R-04-2013-09-08-2013-Sentencia.pdf","578.5"
"R-5-2013","2TA","definitiva","2013","R-05-2013-16-08-2013-Sentencia.pdf","290.2"
"R-6-2013","2TA","definitiva","2013","R-06-2013-03-03-2014-Sentencia.pdf","2727.6"
"R-10-2013","2TA","definitiva","2013","R-10-2013-19-06-2014-Sentencia.pdf","567.4"
"R-11-2013","2TA","definitiva","2013","R-11-2013-26-06-2014-Sentencia.pdf","690.6"
"R-13-2013","2TA","definitiva","2013","R-13-2013-17-01-2014-Sentencia.pdf","537.4"
"R-14-2013","2TA","definitiva","2013","R-14-2013-23-04-2014-Sentencia.pdf","656.3"
"R-15-2013","2TA","definitiva","2013","R-15-2013-22-05-2014-Sentencia.pdf","741.1"
"R-16-2013","2TA","definitiva","2013","R-16-2013-18-07-2014-Sentencia.pdf","149.3"
"R-20-2014","2TA","definitiva","2014","R-20-2014-19-06-2014-Sentencia.pdf","138.6"
"R-21-2014","2TA","definitiva","2014","R-21-2014-28-10-2014-Sentencia.pdf","150.4"
"R-22-2014","2TA","definitiva","2014","R-22-2014-16-12-2014-Sentencia-Definitiva.pdf","283.4"
"R-23-2014","2TA","definitiva","2014","R-23-2014-12-09-2014-Sentencia.pdf","873.1"
"R-24-2014","2TA","definitiva","2014","R-24-2014-21-11-2014-Sentencia-foliada.pdf","834.1"
"R-26-2014","2TA","definitiva","2014","R-26-2014-17-12-2014-Sentencia.pdf","111.4"
"R-32-2014","2TA","definitiva","2014","R-32-2014-25-05-2015-Sentencia-Foleada.pdf","182.7"
"R-33-2014","2TA","definitiva","2014","R-33-2014_Sentencia.pdf","1388.5"
"R-34-2014","2TA","definitiva","2014","R-34-2014-02-07-2015-Sentencia.pdf","132.1"
"R-35-2014","2TA","definitiva","2014","R-35-2014-18-02-2016-Sentencia.pdf","3127.1"
"R-38-2014","2TA","definitiva","2014","R-38-2014-07-05-2015-Sentencia.pdf","1732.3"
"R-39-2014","2TA","definitiva","2014","R-39-2014-15-10-15-Sentencia.pdf","84.9"
"R-40-2014","2TA","definitiva","2014","Sentencia-R-40-2014-Comunicaciones.pdf","10202.1"
"R-44-2014","2TA","definitiva","2014","R-44-2014-04-12-2015-Sentencia.pdf","1804.3"
"R-48-2014","2TA","definitiva","2014","R-48-2014-29-01-2016-Sentencia.pdf","2065.2"
"R-51-2014","2TA","definitiva","2014","R-51-2014-08-06-2016-Sentencia.pdf","2105.1"
"R-53-2014","2TA","definitiva","2014","R-53-2014-26-08-2015-Sentencia.pdf","975.4"
"R-54-2014","2TA","definitiva","2014","R-54-2014-01-12-2015-Sentencia.pdf","517.9"
"R-58-2015","2TA","definitiva","2015","R-58-2015-15-10-2015-Sentencia.pdf","530.4"
"R-62-2015","2TA","definitiva","2015","R-62-2015-29-02-2016-Sentencia.pdf","730.4"
"R-63-2015","2TA","definitiva","2015","R-63-2015-21-04-2016-Sentencia.pdf","893.3"
"R-67-2015","2TA","definitiva","2015","R-67-2015-31-01-2017-Sentencia.pdf","1122.9"
"R-68-2015","2TA","definitiva","2015","R-68-2015-22-07-2016-Sentencia.pdf","840.8"
"R-72-2015","2TA","definitiva","2015","R-72-2015-12-06-2017-Sentencia.pdf","2820.1"
"R-73-2015","2TA","definitiva","2015","R-73-2015-08-11-2016-Sentencia.pdf","756.1"
"R-75-2015","2TA","definitiva","2015","R-75-2015-30-12-2016-Sentencia.pdf","1142.0"
"R-76-2015","2TA","definitiva","2015","R-76-2015-05-10-2016-Sentencia.pdf","1641.5"
"R-77-2015","2TA","definitiva","2015","R-77-2015-17-03-2017-Sentencia.pdf","754.0"
"R-79-2015","2TA","definitiva","2015","R-79-2015-30-05-2016-Sentencia.pdf","343.0"
"R-82-2015","2TA","definitiva","2015","R-82-2015-29-09-2017-Sentencia.pdf","3534.5"
"R-83-2015","2TA","definitiva","2015","R-83-2015-30-03-2016-Sentencia.pdf","704.9"
"R-86-2015","2TA","definitiva","2015","R-86-2015-28-10-2016-Sentencia.pdf","4947.1"
"R-87-2015","2TA","definitiva","2015","R-87-2015-17-06-2016-Sentencia.pdf","670.0"
"R-88-2015","2TA","definitiva","2015","R-88-2015-27-07-2016-Sentencia.pdf","1234.0"
"R-89-2016","2TA","definitiva","2016","R-89-2016-27-04-2017-Sentencia.pdf","2084.2"
"R-90-2016","2TA","definitiva","2016","R-90-2016-21-03-2017-Sentencia.pdf","995.1"
"R-93-2016","2TA","definitiva","2016","R-93-2016-27-02-2017-Sentencia.pdf","1150.2"
"R-95-2016","2TA","definitiva","2016","R-95-2016-17-11-2016-Sentencia.pdf","344.8"
"R-96-2016","2TA","definitiva","2016","R-96-2016-25-04-2016-Sentencia.pdf","1868.6"
"R-97-2016","2TA","definitiva","2016","R-97-2016-23-12-2016-Sentencia.pdf","1578.4"
"R-98-2016","2TA","definitiva","2016","R-98-2016-21-06-2017-Sentencia.pdf","1348.0"
"R-99-2016","2TA","definitiva","2016","R-99-2016-25-04-2018-Sentencia.pdf","4703.9"
"R-101-2016","2TA","definitiva","2016","R-101-2016-31-05-2017-Sentencia.pdf","2593.6"
"R-102-2016","2TA","definitiva","2016","R-102-2016-15-09-2016-Sentencia.pdf","434.5"
"R-104-2016","2TA","definitiva","2016","R-104-2016-24-02-2017-Sentencia.pdf","1154.8"
"R-107-2016","2TA","definitiva","2016","R-107-2016_24-01-2018_Sentencia.pdf","1616.2"
"R-108-2016","2TA","definitiva","2016","R-108-2016-15-11-2016-Sentencia.pdf","426.9"
"R-109-2016","2TA","definitiva","2016","R-109-2016-22-05-2017-Sentencia.pdf","1915.8"
"R-111-2016","2TA","definitiva","2016","R-111-2016-31-08-2017-Sentencia.pdf","4939.2"
"R-112-2016","2TA","definitiva","2016","R-112-2016-02-02-2017-Sentencia.pdf","1369.8"
"R-116-2016","2TA","definitiva","2016","R-116-2016-28-06-2017-Sentencia.pdf","1174.7"
"R-117-2016","2TA","definitiva","2016","R-117-2016_14-12-2016_Sentencia.pdf","710.4"
"R-118-2016","2TA","definitiva","2016","R-118-2016-31-08-2017-Sentencia.pdf","1133.3"
"R-122-2016","2TA","definitiva","2016","R-122-2016_30-03-2017_Sentencia.pdf","757.4"
"R-123-2016","2TA","definitiva","2016","R-123-2016-18-05-2017-Sentencia.pdf","1664.2"
"R-124-2016","2TA","definitiva","2016","R-124-2016-15-05-2018-Sentencia.pdf","195.3"
"R-125-2016","2TA","definitiva","2016","R-125-2016-11-02-2019-Sentencia.pdf","6538.9"
"R-126-2016","2TA","definitiva","2016","R-126-2016-31-08-2017-Sentencia.pdf","3278.8"
"R-128-2016","2TA","definitiva","2016","R-128-2016-31-03-2017-Sentencia.pdf","1707.6"
"R-129-2016","2TA","definitiva","2016","R-129-2016-05-01-2018-Sentencia.pdf","2503.5"
"R-131-2016","2TA","definitiva","2016","R-131-2016-28-04-2017-Sentencia.pdf","1609.0"
"R-132-2016","2TA","definitiva","2016","R-132-2016-20-10-2017-Sentencia.pdf","1732.9"
"R-135-2016","2TA","definitiva","2016","R-135-2016-28-07-2017-Sentencia.pdf","5971.7"
"R-138-2016","2TA","definitiva","2016","R-138-2016-29-03-2018-Sentencia.pdf","1322.8"
"R-139-2016","2TA","definitiva","2016","CS_23085-2018_2TA_R-139-2016_Sentencia.pdf","145.7"
"R-140-2016","2TA","definitiva","2016","R-140-2016-05-06-2018-Sentencia.pdf","3916.1"
"R-139-2017","2TA","definitiva","2017","R-139-2017-31-07-2018-Sentencia.pdf","5583.2"
"R-141-2017","2TA","definitiva","2017","R-141-2017-08-02-2019-Sentencia.pdf","1860.8"
"R-143-2017","2TA","definitiva","2017","R-143-2017-10-12-2018-Sentencia-web_pc_7mb.pdf","6835.4"
"R-146-2017","2TA","definitiva","2017","R-146-2017-25-09-2018-Sentencia.pdf","4288.9"
"R-147-2017","2TA","definitiva","2017","R-147-2017-30-01-2019-Sentencia.pdf","2496.4"
